stno	id	name	code	height	lat_d	long_d	easting	northing
175	dly175.csv	PhoenixPark	phopa	48	53.358	-6.342	310000	236100
275	dly275.csv	Mace_Head	mache	21	53.322	-9.901	73400	232276
375	dly375.csv	"Oak_Park, Carlow"	oakpa	62	52.857	-6.909	273000	179500
518	dly518.csv	Shannon_Airport	shaai	15	52.687	-8.917	137900	160300
532	dly532.csv	Dublin_Airport	dubai	71	53.423	-6.238	316900	243400
575	dly575.csv	"Moore_Park, Fermoy"	moopa	46	52.158	-8.258	181900	101400
675	dly675.csv	Ballyhaise	bally	78	54.051	-7.306	245200	311600
775	dly775.csv	Sherkin Island	sheis	21	51.472	-9.423	100781	25801
875	dly875.csv	Mullingar	mulli	101	53.536	-7.357	243000	254300
1075	dly1075.csv	Roches_Point	rocpo	40	51.789	-8.24	182779	60625
1175	dly1175.csv	Newport	newpo	22	53.92	-9.57	96731	298267
1275	dly1275.csv	Markree	markr	34	54.172	-8.453	169860	325582
1375	dly1375.csv	Dunsany	dunsa	83	53.51	-6.656	288898	252606
1475	dly1475.csv	Gurteen	gurte	75	53.052	-8.005	199466	198376
1575	dly1575.csv	Malin_head	malhe	20	55.37	-7.337	241944	458561
1775	dly1775.csv	Johnstown Castle	johca	62	52.292	-6.491	302631	117200
1875	dly1875.csv	Athenry	athen	40	53.287	-8.785	147659	226804
1975	dly1975.csv	Mt_Dillon	moudi	39	53.723	-7.975	201306	275240
2075	dly2075.csv	Finner	finne	33	54.49	-8.239	184300	360635
2175	dly2175.csv	Claremorris	clare	68	53.707	-8.989	134523	273883
2275	dly2275.csv	Valentia_Observatory	valob	24	51.936	-10.238	45940	78555
2375	dly2375.csv	Belmullet	belmu	9	54.223	-10.004	69170	332818
3723	dly3723.csv	Casement	casem	91	53.303	-6.437	304100	229500
3904	dly3904.csv	Cork_Airport	corai	155	51.842	-8.485	166500	66200
4935	dly4935.csv	Knock_Airport	knoai	201	53.904	-8.817	146783	296363
