date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_wd
01-May-55,0,9.4,0,6.9,0,3.8,0,7.4,996.2,19.2,2,34,2,70,2,48, , , ,1,1.9, , , 
02-May-55,0,11.2,0,5.7,0,5.9,3,0,997.1,14.2,0,24,0,310,0,31, , ,12.3,1.9,3.6, , , 
03-May-55,0,13.1,0,4.3,0,0.6,0,6.6,989.6,14.8,0,30,0,130,0,48, , ,9.2,1.4,2.4, , , 
04-May-55,0,12.8,0,7.8,0,6.1,0,4.4,978.3,19.9,0,27,0,230,0,41, , ,9.625,2,3.6, , , 
05-May-55,0,13.2,0,8.1,0,6.6,0,2.7,990.3,16,0,24,0,240,0,34, , ,10.775,2,3.4, , , 
06-May-55,0,11.4,0,7.9,0,6.4,0,0.8,1005.4,11.2,0,19,0,320,0,23, , ,11.65,2.7,4.4, , , 
07-May-55,0,14.3,0,6.4,0,2.3,0,0.5,1010.5,12.8,0,28,0,160,0,41, , ,11.75,2.7,4.2, , , 
08-May-55,0,16.4,0,9.7,0,7.8,0,1.9,1002.3,14.5,0,22,0,190,0,30, , ,12.275,2.8,4.4, , , 
09-May-55,0,13.2,0,7.7,0,5.8,0,4.8,998.8,12.9,0,23,0,330,0,32, , ,11.9,2.1,3.6, , , 
10-May-55,0,7.8,0,4.7,0,4.4,0,0.6,1008.3,20.1,0,31,0,350,0,40, , ,10.725,1.9,3.6, , , 
11-May-55,0,11.7,0,5.1,0,3.8,0,2.7,1014,18.1,0,26,0,260,0,40, , ,10.025,2.4,4.2, , , 
12-May-55,0,10.4,0,7.2,0,6.2,0,7.8,1004.8,14.1,0,24,0,230,0,34, , ,9.775,1.4,2.2, , , 
13-May-55,0,9.2,0,4.7,0,3.7,0,3.1,997.8,17.7,0,25,0,310,0,39, , ,9.9,2.3,4.2, , , 
14-May-55,0,8.7,0,2.9,1,-0.6,0,7.3,999.2,15.1,0,26,0,330,0,39, , ,9.2,2.2,4, , , 
15-May-55,0,8.7,0,1.4,0,1,0,6.3,1000,15.1,0,28,0,290,0,41, , ,8.5,2,3.5, , , 
16-May-55,0,8.3,0,4.8,0,0.1,0,0.1,1002.8,13.7,0,26,0,360,0,32, , ,9.25,2.8,4.8, , , 
17-May-55,0,7.9,0,5.5,0,3.6,0,0.1,1005.2,18.9,0,24,0,340,0,32, , ,9.975,2.8,5.2, , , 
18-May-55,0,8.9,0,4.4,0,2.9,0,0.6,1012.2,21.8,0,29,0,330,0,41, , ,9.75,2.6,4.9, , , 
19-May-55,0,9,0,2.7,0,1.7,0,2.5,1018.3,12.5,0,34,0,310,0,46, , ,10.15,2.4,4.1, , , 
20-May-55,0,9.3,0,4.9,0,4.4,0,1.2,1021.8,8.8,0,19,0,340,0,26, , ,11.85,2.6,4.1, , , 
21-May-55,0,12.1,0,5.7,0,2.8,0,0.3,1025.2,11.5,0,25,0,260,0,32, , ,10.725,2.7,4.3, , , 
22-May-55,0,12.7,0,6.7,0,5.2,0,5.3,1022.9,15.9,0,24,0,240,0,35, , ,10.4,1.3,2.3, , , 
23-May-55,0,11.7,0,9.4,0,10.1,0,1.3,1020.6,6.9,0,22,0,240,0,31, , ,12.325,2.3,3, , , 
24-May-55,0,11.5,0,8.8,0,10.4,0,1,1018.2,6,0,15,0,70,0,22, , ,13.45,3,4.1, , , 
25-May-55,0,17.2,0,8.4,0,4.2,0,0,1011.1,12.3,0,22,0,50,0,30, , ,13.5,3.6,5.7, , , 
26-May-55,0,16.5,0,9.9,0,8.4,0,0,1006.1,14.3,2,29,2,80,2,40, , ,13.9,3.1,4.7, , , 
