date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
01-Jun-07,0,19.9,0,5.8,4, ,0,0,1009.6,17.395
02-Jun-07,0,17.9,0,12.9,0,12.3,0,2.4,1013.6,16.853
03-Jun-07,0,16.1,0,9.7,0,13.3,0,29.1,1017.4,15.908
04-Jun-07,0,17.2,0,8.5,0,7.4,0,1,1022.6,14.64
05-Jun-07,0,17.8,0,8.5,0,5.3,0,0,1020.8,17.28
06-Jun-07,0,17.8,0,7.3,0,3.4,8, ,1018.1,18.14
07-Jun-07,0,18.3,0,7.3,0,3.5,0,0,1016.7,19.478
08-Jun-07,0,21.4,0,8.5,0,5.5,0,0,1015.1,19.94
09-Jun-07,0,22.2,0,9.3,0,5.4,0,0,1013.8,21.472
10-Jun-07,0,21.7,0,9.6,0,5.4,0,0,1011.2,21.888
11-Jun-07,0,23.5,0,11.7,0,7.8,0,0,1009.1,22.182
12-Jun-07,0,23,0,13.9,0,9.6,0,2.5,1005.1,22.728
13-Jun-07,0,18.8,0,12.6,0,10.8,0,9.2,999.8,19.5
14-Jun-07,0,13.9,0,11.9,0,10.6,0,10.7,996.3,16.56
15-Jun-07,0,12.4,0,10.8,0,11.2,0,11.6,994.9,14.512
16-Jun-07,0,13.3,0,10.1,0,10.1,0,0.4,996.6,14.538
17-Jun-07,0,16.1,0,9.3,0,9.9,0,0,998.1,16.03
18-Jun-07,0,17.4,0,7.6,0,4.7,0,0.7,999.7,15.868
19-Jun-07,0,17.6,0,12.2,0,8.2,0,15.4,999.4,15.59
20-Jun-07,0,17.4,0,12.4,0,10.1,0,1.2,996.3,16.14
21-Jun-07,0,15.3,0,12.3,0,10.3,0,5.8,999.5,15.847
22-Jun-07,0,17.5,0,11.8,0,9.7,0,51.6,1002.7,15.79
23-Jun-07,0,17.1,0,10.7,0,10.3,0,7.2,1003,16.64
24-Jun-07,0,15.6,0,9.4,0,10.2,0,2.3,1000.8,16.595
25-Jun-07,0,16.4,0,8.7,0,7.9,0,0.3,1004.7,15.555
26-Jun-07,0,17.6,0,8.3,0,5.5,0,1.4,1006.1,15.165
27-Jun-07,0,16.3,0,6.7,0,9.5,0,0.9,1001.6,16.398
28-Jun-07,0,17.2,0,5.1,0,2.1,0,3.2,999.2,14.96
29-Jun-07,0,17.9,0,9.6,0,10.5,0,2.1,1000.1,17.275
30-Jun-07,0,21.5,0,12.4,0,12.2,0,5.9,997.2,17.99
01-Jul-07,0,20.7,0,13.9,0,13.3,0,9.4,989,18.717
20-Aug-07,0,17.1,0,10.1,4, ,0,13.6,1006.7,15.815
21-Aug-07,0,19.5,0,8.7,0,4.9,8, ,1016.6,16.035
22-Aug-07,0,22.7,0,11.4,0,8,0,0,1018.9,18.68
23-Aug-07,0,20.9,0,12.1,0,8.6,8, ,1018.8,18.278
24-Aug-07,0,23.6,0,12.7,0,9.1,0,0.1,1021.9,19.132
25-Aug-07,0,21.1,0,13.7,0,12.2,0,0.1,1023.6,19.522
26-Aug-07,0,18.4,0,10.1,0,7.6,0,0,1026.2,18.335
27-Aug-07,0,17.9,0,11.1,0,6.4,0,0,1023.3,17.625
28-Aug-07,0,19.3,0,10.3,0,8.5,0,0.1,1019.1,17.99
29-Aug-07,0,18.4,0,9.1,0,4.9,0,0,1019,18.003
30-Aug-07,0,19.3,0,12.8,0,10.6,0,0.1,1020.2,18.215
31-Aug-07,0,19.3,0,13.9,0,11.8,0,0,1018.5,18.1
01-Sep-07,0,19.8,0,13.6,0,13.4,0,0.2,1015.7,18.417
02-Sep-07,0,19.9,0,12.7,0,11.9,0,1.8,1011.5,17.775
03-Sep-07,0,18.7,0,9.2,0,4.6,0,0,1018,16.915
04-Sep-07,0,19.4,0,7.3,0,3.8,0,0,1023.8,16.698
05-Sep-07,0,21.3,0,14.6,0,12.2,0,0.5,1026.4,18.833
06-Sep-07,0,21.5,0,14.9,0,12.2,0,0,1028.3,19.083
07-Sep-07,0,22.4,0,11.1,0,13.6,0,0,1027.3,19.235
08-Sep-07,0,17.3,0,10.1,0,6.4,0,0,1025.2,17.555
09-Sep-07,0,17.3,0,13.3,0,11.2,0,0,1021.3,17.642
10-Sep-07,0,19.6,0,8.9,0,11.1,0,0,1019.3,17.872
11-Sep-07,0,19.3,0,8.1,0,3.9,0,0,1022.9,16.775
12-Sep-07,4, ,4, ,4, ,0,0, ,17.677
13-Sep-07,0,20.2,0,12.8,4, ,0,0,1017.2,17.48
14-Sep-07,0,16.9,0,8.1,0,6.2,0,0.3,1015.8,16.685
15-Sep-07,0,19.7,0,7.4,0,2.7,0,0,1014.9,16.358
16-Sep-07,0,20.5,0,9.1,0,12.1,0,1.7,1002.8,17.055
17-Sep-07,0,13.6,0,3.9,0,1.1,0,0.1,1011.8,13.78
18-Sep-07,0,13.9,0,2.1,0,-2.6,0,0,1016.5,12.533
19-Sep-07,0,19.2,0,11.5,0,8.1,0,4.2,1008.2,15.193
20-Sep-07,0,17.7,0,10.4,0,7.2,0,1.4,1006.1,15.542
21-Sep-07,0,15.9,0,8.1,0,6.3,0,8.2,1007.7,14.622
22-Sep-07,0,18.8,0,6.2,0,1,0,0,1009,13.807
23-Sep-07,0,18.3,0,10.6,0,11.9,0,1,1000.8,16.057
24-Sep-07,0,16,0,8.4,0,5.2,0,3,999.5,14.465
25-Sep-07,0,14.5,0,5.3,0,6,0,0.4,1012.8,13.325
26-Sep-07,0,12.8,0,3.6,0,-1.5,0,0,1022.8,11.108
27-Sep-07,0,12.3,0,2.1,0,-1.5,0,0,1020.8,11.215
28-Sep-07,0,13.7,0,7.7,0,3.5,0,2.1,1014.2,12.278
29-Sep-07,0,15,0,10.4,0,10.3,0,1.1,1010.8,13.318
30-Sep-07,0,16.3,0,7.9,0,9,0,12.3,1013.8,13.92
01-Oct-07,0,17.1,0,7.9,0,3.1,0,0,1016.3,13.44
03-Oct-07,0,16.6,0,7.6,4, ,0,4.6,1009.4,13.96
04-Oct-07,0,17.3,0,5.2,0,-0.2,0,0.1,1015.6,12.395
05-Oct-07,0,17.9,0,5.6,0,1.6,0,0.1,1018.4,12.415
06-Oct-07,0,17,0,4.8,0,0.6,0,0,1018.4,12.275
07-Oct-07,0,15.3,0,6.4,0,2.2,0,0.1,1017.4,12.43
08-Oct-07,0,16.7,0,10.1,0,4.1,0,0.1,1016.8,13.325
28-Oct-07,0,16.6,0,6.4,4, ,0,1.1,1000.8,12.255
14-Nov-07,0,12.1,0,5.6,4, ,0,11.7,1016.6,8.578
15-Nov-07,0,10.4,0,7.3,0,2.5,0,1,1020.2,9.528
16-Nov-07,0,11.7,0,7,0,6.3,0,0,1019.8,9.365
17-Nov-07,0,10.6,0,6.5,0,3.5,0,12.4,1007.7,8.81
18-Nov-07,0,7.6,0,3.7,0,-0.2,0,13.6,993.7,7.977
19-Nov-07,0,8.9,0,4.4,0,4.1,0,9.3,991.8,7.37
20-Nov-07,4, ,4, ,0,5,0,0.5,996.1,7.454
21-Nov-07,0,8.5,0,4.6,0,-1.1,0,1.4,995,7.158
22-Nov-07,0,8.3,0,3.1,0,-0.3,0,0.1,1005.4,6.027
23-Nov-07,0,4.8,0,-2.8,0,-2.6,0,0,1019.3,4.362
24-Nov-07,0,10.4,0,0.6,0,-7.4,0,0.8,1018.1,5.421
25-Nov-07,0,10.9,0,7.3,0,4.4,0,0.1,1021.1,7.527
