X,Y,Site,Species,No,Day,Month,Activity time,Time period,Year
236708,367526,Aghadulla,Martes martes,1,6,5,03:10,03:00-03:59,2015
236708,367526,Aghadulla,martes martes,1,5,5,04:03,04:00-04:59,2015
236708,367526,Aghadulla,martes martes,1,4,5,04:12,04:00-04:59,2015
236708,367526,Aghadulla,sika,1,7,5,05:58,05:00-05:59,2015
236708,367526,Aghadulla,Vulpes vulpes,1,4,5,06:40,06:00-06:59,2015
236708,367526,Aghadulla,lepus timidus hibernicus,1,1,5,16:58,16:00-16:59,2015
236708,367526,Aghadulla,sika,1,5,5,19:14,19:00-19:59,2015
236708,367526,Aghadulla,Martes martes,1,6,5,19:50,19:00-19:59,2015
236708,367526,Aghadulla,sika,1,6,5,21:11,21:00-21:59,2015
236708,367526,Aghadulla,Vulpes vulpes,1,4,5,21:30,21:00-21:59,2015
236708,367526,Aghadulla,martes martes,1,5,5,23:23,23:00-23:59,2015
302000,323000,Aghmakane,martes martes,1,12,2,01:29,01:00-01:59,2015
247775,345482,Alderwood,Martes martes,1,14,4,21:07:19,21:00-21:59,2015
247775,345482,Alderwood ,Martes martes ,1,18,4,03:42:56,03:00-03:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,21,4,07:25:04,07:00-07:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,16,4,08:11:36,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,15,4,08:12:08,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,18,4,08:22:23,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,23,4,08:28:53,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,17,4,08:31:49,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,19,4,08:39:37,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,21,4,08:55:50,08:00-08:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,20,4,09:02:18,09:00-09:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,17,4,09:04:50,09:00-09:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,18,4,09:24:47,09:00-09:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,17,4,10:00:53,10:00-10:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,20,4,10:14:03,10:00-10:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,19,4,10:38:01,10:00-10:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,17,4,11:22:15,11:00-11:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,22,4,11:28:31,11:00-11:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,20,4,12:01:02,12:00-12:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,15,4,12:52:17,12:00-12:59,2015
247775,345482,Alderwood ,Sciurus vulgaris,1,19,4,12:57:25,12:00-12:59,2015
