"","year","round","home","away","score_h","score_a","tries_h","tries_a","points_h","points_a","venue"
"1","2000","1","ENG","IRE","50","18","6","2","2","0","Twickenham, London"
"2","2000","1","WAL","FRA","3","36","0","3","0","2","Millennium Stadium, Cardiff"
"3","2000","1","ITA","SCO","34","20","1","2","2","0","Stadio Flaminio, Rome"
"4","2000","2","IRE","SCO","44","22","5","3","2","0","Lansdowne Rd, Dublin"
"5","2000","2","FRA","ENG","9","15","0","0","0","2","Stade de France, Paris"
"6","2000","2","WAL","ITA","47","16","4","1","2","0","Millennium Stadium, Cardiff"
"7","2000","3","IRE","ITA","60","13","6","1","2","0","Lansdowne Rd, Dublin"
"8","2000","3","SCO","FRA","16","28","1","3","0","2","Murrayfield, Edinburgh"
"9","2000","3","ENG","WAL","46","12","5","0","2","0","Twickenham, London"
"10","2000","4","WAL","SCO","26","18","2","2","2","0","Millennium Stadium, Cardiff"
"11","2000","4","ITA","ENG","12","59","2","8","0","2","Stadio Flaminio, Rome"
"12","2000","4","FRA","IRE","25","27","1","3","0","2","Stade de France, Paris"
"13","2000","5","IRE","WAL","19","23","1","2","0","2","Lansdowne Rd, Dublin"
"14","2000","5","FRA","ITA","42","31","5","4","2","0","Stade de France, Paris"
"15","2000","5","SCO","ENG","19","13","1","1","2","0","Murrayfield, Edinburgh"
"16","2001","1","WAL","ENG","15","44","2","6","0","2","Millennium Stadium, Cardiff"
"17","2001","1","ITA","IRE","22","41","3","4","0","2","Stadio Flaminio, Rome"
"18","2001","1","FRA","SCO","16","6","1","0","2","0","Stade de France, Paris"
"19","2001","2","IRE","FRA","22","15","1","2","2","0","Lansdowne Rd, Dublin"
"20","2001","2","ENG","ITA","80","23","10","2","2","0","Twickenham, London"
"21","2001","2","SCO","WAL","28","28","3","1","1","1","Murrayfield, Edinburgh"
"22","2001","3","ENG","SCO","43","3","6","0","2","0","Twickenham, London"
"23","2001","3","ITA","FRA","19","30","1","3","0","2","Stadio Flaminio, Rome"
"24","2001","4","SCO","ITA","23","19","1","1","2","0","Murrayfield, Edinburgh"
"25","2001","4","FRA","WAL","35","43","2","4","0","2","Stade de France, Paris"
"26","2001","5","ENG","FRA","48","19","6","1","2","0","Twickenham, London"
"27","2001","5","ITA","WAL","23","33","1","3","0","2","Stadio Flaminio, Rome"
"28","2001","5","SCO","IRE","32","10","4","1","2","0","Murrayfield, Edinburgh"
"29","2001","3","WAL","IRE","6","36","0","3","0","2","Millennium Stadium, Cardiff"
"30","2001","4","IRE","ENG","20","14","1","1","2","0","Lansdowne Rd, Dublin"
"31","2002","1","FRA","ITA","33","12","2","0","2","0","Stade de France, Paris"
"32","2002","1","SCO","ENG","3","29","0","4","0","2","Murrayfield, Edinburgh"
"33","2002","1","IRE","WAL","54","10","6","1","2","0","Lansdowne Rd, Dublin"
"34","2002","2","ENG","IRE","45","11","6","1","2","0","Twickenham, London"
"35","2002","2","WAL","FRA","33","37","3","3","0","2","Millennium Stadium, Cardiff"
"36","2002","2","ITA","SCO","12","29","0","2","0","2","Stadio Flaminio, Rome"
"37","2002","3","IRE","SCO","43","22","5","1","2","0","Lansdowne Rd, Dublin"
"38","2002","3","WAL","ITA","44","20","5","2","2","0","Millennium Stadium, Cardiff"
"39","2002","3","FRA","ENG","20","15","2","2","2","0","Stade de France, Paris"
"40","2002","4","ENG","WAL","50","10","5","1","2","0","Twickenham, London"
"41","2002","4","SCO","FRA","10","22","1","3","0","2","Murrayfield, Edinburgh"
"42","2002","4","IRE","ITA","32","17","3","2","2","0","Lansdowne Rd, Dublin"
"43","2002","5","FRA","IRE","44","5","5","1","2","0","Stade de France, Paris"
"44","2002","5","WAL","SCO","22","27","1","2","0","2","Millennium Stadium, Cardiff"
"45","2002","5","ITA","ENG","9","45","0","6","0","2","Stadio Flaminio, Rome"
"46","2003","1","ENG","FRA","25","17","1","3","2","0","Twickenham, London"
"47","2003","1","ITA","WAL","30","22","3","3","2","0","Stadio Flaminio, Rome"
"48","2003","1","SCO","IRE","6","36","0","3","0","2","Murrayfield, Edinburgh"
"49","2003","2","WAL","ENG","9","26","0","2","0","2","Millennium Stadium, Cardiff"
"50","2003","2","ITA","IRE","13","37","1","5","0","2","Stadio Flaminio, Rome"
"51","2003","2","FRA","SCO","38","3","4","0","2","0","Stade de France, Paris"
"52","2003","3","IRE","FRA","15","12","0","0","2","0","Lansdowne Rd, Dublin"
"53","2003","3","SCO","WAL","30","22","3","3","2","0","Murrayfield, Edinburgh"
"54","2003","3","ENG","ITA","40","5","6","1","2","0","Twickenham, London"
"55","2003","4","WAL","IRE","24","25","3","2","0","2","Millennium Stadium, Cardiff"
"56","2003","4","ENG","SCO","40","9","4","0","2","0","Twickenham, London"
"57","2003","4","ITA","FRA","27","53","4","7","0","2","Stadio Flaminio, Rome"
"58","2003","5","FRA","WAL","33","5","3","1","2","0","Stade de France, Paris"
"59","2003","5","SCO","ITA","33","25","4","3","2","0","Murrayfield, Edinburgh"
"60","2003","5","IRE","ENG","6","42","0","5","0","2","Lansdowne Rd, Dublin"
"61","2004","1","FRA","IRE","35","17","4","2","2","0","Stade de France, Paris"
"62","2004","1","WAL","SCO","23","10","3","1","2","0","Millennium Stadium, Cardiff"
"63","2004","1","ITA","ENG","9","50","0","7","0","2","Stadio Flaminio, Rome"
"64","2004","2","FRA","ITA","25","0","3","0","2","0","Stade de France, Paris"
"65","2004","2","SCO","ENG","13","35","1","4","0","2","Murrayfield, Edinburgh"
"66","2004","2","IRE","WAL","36","15","6","2","2","0","Lansdowne Rd, Dublin"
"67","2004","3","ENG","IRE","13","19","1","1","0","2","Twickenham, London"
"68","2004","3","ITA","SCO","20","14","1","1","2","0","Stadio Flaminio, Rome"
"69","2004","3","WAL","FRA","22","29","1","2","0","2","Millennium Stadium, Cardiff"
"70","2004","4","IRE","ITA","19","3","3","0","2","0","Lansdowne Rd, Dublin"
"71","2004","4","ENG","WAL","31","21","2","3","2","0","Twickenham, London"
"72","2004","4","SCO","FRA","0","31","0","3","0","2","Murrayfield, Edinburgh"
"73","2004","5","FRA","ENG","24","21","2","2","2","0","Stade de France, Paris"
"74","2004","5","IRE","SCO","37","16","5","1","2","0","Lansdowne Rd, Dublin"
"75","2004","5","WAL","ITA","44","10","6","1","2","0","Millennium Stadium, Cardiff"
"76","2005","1","FRA","SCO","16","9","1","0","2","0","Stade de France, Paris"
"77","2005","1","WAL","ENG","11","9","1","0","2","0","Millennium Stadium, Cardiff"
"78","2005","1","ITA","IRE","17","28","1","3","0","2","Stadio Flaminio, Rome"
"79","2005","2","ITA","WAL","8","38","1","6","0","2","Stadio Flaminio, Rome"
"80","2005","2","SCO","IRE","13","40","2","5","0","2","Murrayfield, Edinburgh"
"81","2005","2","ENG","FRA","17","18","2","0","0","2","Twickenham, London"
"82","2005","3","SCO","ITA","18","10","0","1","2","0","Murrayfield, Edinburgh"
"83","2005","3","FRA","WAL","18","24","2","2","0","2","Stade de France, Paris"
"84","2005","3","IRE","ENG","19","13","1","1","2","0","Lansdowne Rd, Dublin"
"85","2005","4","IRE","FRA","19","26","1","2","0","2","Lansdowne Rd, Dublin"
"86","2005","4","ENG","ITA","39","7","6","1","2","0","Twickenham, London"
"87","2005","4","SCO","WAL","22","46","3","6","0","2","Murrayfield, Edinburgh"
"88","2005","5","ITA","FRA","13","56","1","7","0","2","Stadio Flaminio, Rome"
"89","2005","5","WAL","IRE","32","20","2","2","2","0","Millennium Stadium, Cardiff"
"90","2005","5","ENG","SCO","43","22","7","3","2","0","Twickenham, London"
"91","2006","1","IRE","ITA","26","16","2","1","2","0","Lansdowne Rd, Dublin"
"92","2006","1","ENG","WAL","47","13","6","1","2","0","Twickenham, London"
"93","2006","1","SCO","FRA","20","16","2","2","2","0","Murrayfield, Edinburgh"
"94","2006","2","FRA","IRE","43","31","6","4","2","0","Stade de France, Paris"
"95","2006","2","ITA","ENG","16","31","1","4","0","2","Stadio Flaminio, Rome"
"96","2006","2","WAL","SCO","28","18","4","2","2","0","Millennium Stadium, Cardiff"
"97","2006","3","FRA","ITA","37","12","5","0","2","0","Stade de France, Paris"
"98","2006","3","SCO","ENG","18","12","0","0","2","0","Murrayfield, Edinburgh"
"99","2006","3","IRE","WAL","31","5","3","1","2","0","Lansdowne Rd, Dublin"
"100","2006","4","WAL","ITA","18","18","2","2","1","1","Millennium Stadium, Cardiff"
"101","2006","4","IRE","SCO","15","9","0","0","2","0","Lansdowne Rd, Dublin"
"102","2006","4","FRA","ENG","31","6","3","0","2","0","Stade de France, Paris"
"103","2006","5","ITA","SCO","10","13","1","1","0","2","Stadio Flaminio, Rome"
"104","2006","5","WAL","FRA","16","21","1","2","0","2","Millennium Stadium, Cardiff"
"105","2006","5","ENG","IRE","24","28","2","3","0","2","Twickenham, London"
"106","2007","1","ITA","FRA","3","39","0","5","0","2","Stadio Flaminio, Rome"
"107","2007","1","ENG","SCO","42","20","4","2","2","0","Twickenham, London"
"108","2007","1","WAL","IRE","9","19","0","3","0","2","Millennium Stadium, Cardiff"
"109","2007","2","ENG","ITA","20","7","1","1","2","0","Twickenham, London"
"110","2007","2","SCO","WAL","21","9","0","0","2","0","Murrayfield, Edinburgh"
"111","2007","2","IRE","FRA","17","20","1","2","0","2","Croke Park, Dublin"
"112","2007","3","SCO","ITA","17","37","2","4","0","2","Murrayfield, Edinburgh"
"113","2007","3","IRE","ENG","43","13","4","1","2","0","Croke Park, Dublin"
"114","2007","3","FRA","WAL","32","21","2","3","2","0","Stade de France, Paris"
"115","2007","4","SCO","IRE","18","19","0","1","0","2","Murrayfield, Edinburgh"
"116","2007","4","ITA","WAL","23","20","2","2","2","0","Stadio Flaminio, Rome"
"117","2007","4","ENG","FRA","26","18","2","0","2","0","Twickenham, London"
"118","2007","5","ITA","IRE","24","51","2","8","0","2","Stadio Flaminio, Rome"
"119","2007","5","FRA","SCO","46","19","6","3","2","0","Stade de France, Paris"
"120","2007","5","WAL","ENG","27","18","2","2","2","0","Millennium Stadium, Cardiff"
"121","2008","1","IRE","ITA","16","11","1","1","2","0","Croke Park, Dublin"
"122","2008","1","ENG","WAL","19","26","1","2","0","2","Twickenham, London"
"123","2008","1","SCO","FRA","6","27","0","3","0","2","Murrayfield, Edinburgh"
"124","2008","2","WAL","SCO","30","15","3","0","2","0","Millennium Stadium, Cardiff"
"125","2008","2","FRA","IRE","26","21","4","2","2","0","Stade de France, Paris"
"126","2008","2","ITA","ENG","19","23","1","2","0","2","Stadio Flaminio, Rome"
"127","2008","3","WAL","ITA","47","8","5","1","2","0","Millennium Stadium, Cardiff"
"128","2008","3","IRE","SCO","34","13","5","1","2","0","Croke Park, Dublin"
"129","2008","3","FRA","ENG","13","24","1","2","0","2","Stade de France, Paris"
"130","2008","4","IRE","WAL","12","16","0","1","0","2","Croke Park, Dublin"
"131","2008","4","SCO","ENG","15","9","0","0","2","0","Murrayfield, Edinburgh"
"132","2008","4","FRA","ITA","25","13","3","1","2","0","Stade de France, Paris"
"133","2008","5","ITA","SCO","23","20","2","2","2","0","Stadio Flaminio, Rome"
"134","2008","5","ENG","IRE","33","10","3","1","2","0","Twickenham, London"
"135","2008","5","WAL","FRA","29","12","2","0","2","0","Millennium Stadium, Cardiff"
"136","2009","1","ENG","ITA","36","11","5","1","2","0","Twickenham, London"
"137","2009","1","IRE","FRA","30","21","3","2","2","0","Croke Park, Dublin"
"138","2009","1","SCO","WAL","13","26","1","4","0","2","Murrayfield, Edinburgh"
"139","2009","2","FRA","SCO","22","13","1","1","2","0","Stade de France, Paris"
"140","2009","2","WAL","ENG","23","15","1","2","2","0","Millennium Stadium, Cardiff"
"141","2009","2","ITA","IRE","9","38","0","5","0","2","Stadio Flaminio, Rome"
"142","2009","3","FRA","WAL","21","16","2","1","2","0","Stade de France, Paris"
"143","2009","3","SCO","ITA","26","6","2","0","2","0","Murrayfield, Edinburgh"
"144","2009","3","IRE","ENG","14","13","1","1","2","0","Croke Park, Dublin"
"145","2009","4","ITA","WAL","15","20","0","2","0","2","Stadio Flaminio, Rome"
"146","2009","4","SCO","IRE","15","22","0","1","0","2","Murrayfield, Edinburgh"
"147","2009","4","ENG","FRA","34","10","5","2","2","0","Twickenham, London"
"148","2009","5","ITA","FRA","8","50","1","7","0","2","Stadio Flaminio, Rome"
"149","2009","5","ENG","SCO","26","12","3","0","2","0","Twickenham, London"
"150","2009","5","WAL","IRE","15","17","0","2","0","2","Millennium Stadium, Cardiff"
"151","2010","1","IRE","ITA","29","11","2","1","2","0","Croke Park, Dublin"
"152","2010","1","ENG","WAL","30","17","3","2","2","0","Twickenham, London"
"153","2010","1","SCO","FRA","9","18","0","2","0","2","Murrayfield, Edinburgh"
"154","2010","2","WAL","SCO","31","24","3","2","2","0","Millennium Stadium, Cardiff"
"155","2010","2","FRA","IRE","33","10","3","1","2","0","Stade de France, Paris"
"156","2010","2","ITA","ENG","12","17","0","1","0","2","Stadio Flaminio, Rome"
"157","2010","3","WAL","FRA","20","26","2","2","0","2","Millennium Stadium, Cardiff"
"158","2010","3","ITA","SCO","16","12","1","0","2","0","Stadio Flaminio, Rome"
"159","2010","3","ENG","IRE","16","20","1","3","0","2","Twickenham, London"
"160","2010","4","IRE","WAL","27","12","3","0","2","0","Croke Park, Dublin"
"161","2010","4","SCO","ENG","15","15","0","0","1","1","Murrayfield, Edinburgh"
"162","2010","4","FRA","ITA","46","20","6","2","2","0","Stade de France, Paris"
"163","2010","5","FRA","ENG","12","10","0","1","2","0","Stade de France, Paris"
"164","2010","5","WAL","ITA","33","10","3","1","2","0","Millennium Stadium, Cardiff"
"165","2010","5","IRE","SCO","20","23","2","1","0","2","Croke Park, Dublin"
"166","2011","1","WAL","ENG","19","26","1","2","0","2","Millennium Stadium, Cardiff"
"167","2011","1","ITA","IRE","11","13","1","1","0","2","Stadio Flaminio, Rome"
"168","2011","1","FRA","SCO","34","21","4","3","2","0","Stade de France, Paris"
"169","2011","2","ENG","ITA","59","13","8","1","2","0","Twickenham, London"
"170","2011","2","SCO","WAL","6","24","0","2","0","2","Murrayfield, Edinburgh"
"171","2011","2","IRE","FRA","22","25","3","1","0","2","Lansdowne Rd, Dublin"
"172","2011","3","ITA","WAL","16","24","2","2","0","2","Stadio Flaminio, Rome"
"173","2011","3","ENG","FRA","17","9","1","0","2","0","Twickenham, London"
"174","2011","3","SCO","IRE","18","21","0","3","0","2","Murrayfield, Edinburgh"
"175","2011","4","ITA","FRA","22","21","1","2","2","0","Stadio Flaminio, Rome"
"176","2011","4","WAL","IRE","19","13","1","1","2","0","Millennium Stadium, Cardiff"
"177","2011","4","ENG","SCO","22","16","1","1","2","0","Twickenham, London"
"178","2011","5","SCO","ITA","21","8","2","1","2","0","Murrayfield, Edinburgh"
"179","2011","5","IRE","ENG","24","8","2","1","2","0","Lansdowne Rd, Dublin"
"180","2011","5","FRA","WAL","28","9","3","0","2","0","Stade de France, Paris"
"181","2012","1","FRA","ITA","30","12","4","0","2","0","Stade de France, Paris"
"182","2012","1","SCO","ENG","6","13","0","1","0","2","Murrayfield, Edinburgh"
"183","2012","1","IRE","WAL","21","23","2","3","0","2","Lansdowne Rd, Dublin"
"184","2012","2","ITA","ENG","15","19","2","1","0","2","Olympic Stadium, Rome"
"185","2012","2","WAL","SCO","27","13","3","1","2","0","Millennium Stadium, Cardiff"
"186","2012","3","IRE","ITA","42","10","5","1","2","0","Lansdowne Rd, Dublin"
"187","2012","3","ENG","WAL","12","19","0","1","0","2","Twickenham, London"
"188","2012","3","SCO","FRA","17","23","2","2","0","2","Murrayfield, Edinburgh"
"189","2012","2","FRA","IRE","17","17","1","2","1","1","Stade de France, Paris"
"190","2012","4","WAL","ITA","24","3","2","0","2","0","Millennium Stadium, Cardiff"
"191","2012","4","IRE","SCO","32","14","4","1","2","0","Lansdowne Rd, Dublin"
"192","2012","4","FRA","ENG","22","24","1","3","0","2","Stade de France, Paris"
"193","2012","5","ITA","SCO","13","6","1","0","2","0","Olympic Stadium, Rome"
"194","2012","5","WAL","FRA","16","9","1","0","2","0","Millennium Stadium, Cardiff"
"195","2012","5","ENG","IRE","30","9","2","0","2","0","Twickenham, London"
"196","2013","1","WAL","IRE","22","30","3","3","0","2","Millennium Stadium, Cardiff"
"197","2013","1","ENG","SCO","38","18","4","2","2","0","Twickenham, London"
"198","2013","1","ITA","FRA","23","18","2","2","2","0","Olympic Stadium, Rome"
"199","2013","2","SCO","ITA","34","10","4","1","2","0","Murrayfield, Edinburgh"
"200","2013","2","FRA","WAL","6","16","0","1","0","2","Stade de France, Paris"
"201","2013","2","IRE","ENG","6","12","0","0","0","2","Lansdowne Rd, Dublin"
"202","2013","3","ITA","WAL","9","26","0","2","0","2","Olympic Stadium, Rome"
"203","2013","3","ENG","FRA","23","13","1","1","2","0","Twickenham, London"
"204","2013","3","SCO","IRE","12","8","0","1","2","0","Murrayfield, Edinburgh"
"205","2013","4","SCO","WAL","18","28","0","1","0","2","Murrayfield, Edinburgh"
"206","2013","4","IRE","FRA","13","13","1","1","1","1","Lansdowne Rd, Dublin"
